code,uiccode,irailid
842,8841459,BE.NMBS.008841459
848,8881000,BE.NMBS.008881000
855,8861549,BE.NMBS.008861549
860,8893062,BE.NMBS.008893062
862,8882230,BE.NMBS.008882230
863,8821147,BE.NMBS.008821147
864,8821154,BE.NMBS.008821154
866,8821238,BE.NMBS.008821238
868,8885704,BE.NMBS.008885704
869,8889011,BE.NMBS.008889011
870,8861150,BE.NMBS.008861150
871,8822426,BE.NMBS.008822426
873,8895232,BE.NMBS.008895232
877,8821246,BE.NMBS.008821246
894,8863453,BE.NMBS.008863453
895,8863008,BE.NMBS.008863008
896,8864964,BE.NMBS.008864964
897,8864915,BE.NMBS.008864915
899,8832615,BE.NMBS.008832615
900,8833670,BE.NMBS.008833670
901,8844230,BE.NMBS.008844230
902,8883121,BE.NMBS.008883121
905,8824240,BE.NMBS.008824240
906,8894714,BE.NMBS.008894714
907,8821667,BE.NMBS.008821667
908,8881315,BE.NMBS.008881315
910,8895760,BE.NMBS.008895760
911,8814209,BE.NMBS.008814209
916,8811247,BE.NMBS.008811247
919,8871332,BE.NMBS.008871332
920,8881406,BE.NMBS.008881406
923,8895778,BE.NMBS.008895778
924,8832458,BE.NMBS.008832458
929,8891702,BE.NMBS.008891702
931,8891116,BE.NMBS.008891116
933,8812146,BE.NMBS.008812146
936,8811601,BE.NMBS.008811601
938,8893518,BE.NMBS.008893518
939,8892601,BE.NMBS.008892601
941,8833134,BE.NMBS.008833134
951,8865540,BE.NMBS.008865540
954,8811775,BE.NMBS.008811775
956,8844206,BE.NMBS.008844206
957,8844313,BE.NMBS.008844313
958,8884855,BE.NMBS.008884855
961,8873122,BE.NMBS.008873122
962,8871415,BE.NMBS.008871415
968,8865227,BE.NMBS.008865227
970,8871365,BE.NMBS.008871365
971,8843141,BE.NMBS.008843141
973,8896735,BE.NMBS.008896735
974,8842689,BE.NMBS.008842689
975,8811544,BE.NMBS.008811544
976,8873312,BE.NMBS.008873312
977,8822715,BE.NMBS.008822715
979,8884541,BE.NMBS.008884541
982,8881505,BE.NMBS.008881505
983,8889003,BE.NMBS.008889003
984,8884335,BE.NMBS.008884335
989,8886587,BE.NMBS.008886587
991,8841442,BE.NMBS.008841442
992,8845229,BE.NMBS.008845229
995,8861440,BE.NMBS.008861440
996,8842705,BE.NMBS.008842705
997,8811536,BE.NMBS.008811536
1005,8896800,BE.NMBS.008896800
1009,8861119,BE.NMBS.008861119
1013,8892908,BE.NMBS.008892908
1017,8822848,BE.NMBS.008822848
1018,8871217,BE.NMBS.008871217
1021,8814365,BE.NMBS.008814365
1031,8861432,BE.NMBS.008861432
1034,8884004,BE.NMBS.008884004
1043,8864956,BE.NMBS.008864956
1048,8811007,BE.NMBS.008811007
1056,8893070,BE.NMBS.008893070
1058,8893542,BE.NMBS.008893542
1059,8895711,BE.NMBS.008895711
1060,8893526,BE.NMBS.008893526
1061,8831088,BE.NMBS.008831088
1062,8863446,BE.NMBS.008863446
1063,8843133,BE.NMBS.008843133
1066,8824232,BE.NMBS.008824232
1067,8843067,BE.NMBS.008843067
1068,8893583,BE.NMBS.008893583
1073,8894425,BE.NMBS.008894425
1076,8892692,BE.NMBS.008892692
1082,8833159,BE.NMBS.008833159
1083,8822228,BE.NMBS.008822228
1084,8821543,BE.NMBS.008821543
1085,8895570,BE.NMBS.008895570
1087,8812245,BE.NMBS.008812245
1088,8894508,BE.NMBS.008894508
1089,8894508,BE.NMBS.008894508
1090,8831807,BE.NMBS.008831807
1091,8893260,BE.NMBS.008893260
1092,8883113,BE.NMBS.008883113
1093,8871662,BE.NMBS.008871662
1097,8844404,BE.NMBS.008844404
1102,8843406,BE.NMBS.008843406
1106,8869054,BE.NMBS.008869054
1107,8862018,BE.NMBS.008862018
1113,8842853,BE.NMBS.008842853
1120,8811007,BE.NMBS.008811007
1125,8874609,BE.NMBS.008874609
1128,8894672,BE.NMBS.008894672
1130,8895448,BE.NMBS.008895448
1131,8812252,BE.NMBS.008812252
1134,8833266,BE.NMBS.008833266
1135,8844339,BE.NMBS.008844339
1136,8881455,BE.NMBS.008881455
1139,8871811,BE.NMBS.008871811
1141,8884350,BE.NMBS.008884350
1144,8821964,BE.NMBS.008821964
1145,8892254,BE.NMBS.008892254
1146,8833308,BE.NMBS.008833308
1147,8842630,BE.NMBS.008842630
1149,8872553,BE.NMBS.008872553
1150,8895638,BE.NMBS.008895638
1151,8831310,BE.NMBS.008831310
1152,8891314,BE.NMBS.008891314
1154,8885001,BE.NMBS.008885001
1157,8845203,BE.NMBS.008845203
1159,8844271,BE.NMBS.008844271
1160,8883808,BE.NMBS.008883808
1161,8821907,BE.NMBS.008821907
1167,8814134,BE.NMBS.008814134
1168,8814126,BE.NMBS.008814126
1174,8811270,BE.NMBS.008811270
1176,8833050,BE.NMBS.008833050
1177,8844008,BE.NMBS.008844008
1180,8844057,BE.NMBS.008844057
1181,8892304,BE.NMBS.008892304
1182,8895612,BE.NMBS.008895612
1184,8896230,BE.NMBS.008896230
1185,8845146,BE.NMBS.008845146
1186,8895489,BE.NMBS.008895489
1187,8884632,BE.NMBS.008884632
1189,8872579,BE.NMBS.008872579
1192,8811189,BE.NMBS.008811189
1194,8866407,BE.NMBS.008866407
1195,8846201,BE.NMBS.008846201
1196,8849064,BE.NMBS.008849064
1198,8866118,BE.NMBS.008866118
1202,8841327,BE.NMBS.008841327
1206,8893815,BE.NMBS.008893815
1207,8873007,BE.NMBS.008873007
1211,8892007,BE.NMBS.008892007
1212,8896149,BE.NMBS.008896149
1213,8841400,BE.NMBS.008841400
1218,8814266,BE.NMBS.008814266
1219,8811429,BE.NMBS.008811429
1223,8811726,BE.NMBS.008811726
1224,8822251,BE.NMBS.008822251
1226,8844503,BE.NMBS.008844503
1228,8895851,BE.NMBS.008895851
1229,8896396,BE.NMBS.008896396
1230,8822525,BE.NMBS.008822525
1231,8832250,BE.NMBS.008832250
1232,8821709,BE.NMBS.008821709
1234,8893559,BE.NMBS.008893559
1235,8896370,BE.NMBS.008896370
1238,8833233,BE.NMBS.008833233
1242,8833175,BE.NMBS.008833175
1244,8821436,BE.NMBS.008821436
1245,8822608,BE.NMBS.008822608
1248,8893211,BE.NMBS.008893211
1253,8893534,BE.NMBS.008893534
1254,8873239,BE.NMBS.008873239
1255,8863545,BE.NMBS.008863545
1256,8895737,BE.NMBS.008895737
1260,8811221,BE.NMBS.008811221
1261,8891264,BE.NMBS.008891264
1262,8891553,BE.NMBS.008891553
1265,8894235,BE.NMBS.008894235
1266,8812062,BE.NMBS.008812062
1270,8833274,BE.NMBS.008833274
1272,8892635,BE.NMBS.008892635
1274,8895208,BE.NMBS.008895208
1278,8894821,BE.NMBS.008894821
1348,8832235,BE.NMBS.008832235
1350,8832334,BE.NMBS.008832334
1368,8832664,BE.NMBS.008832664
1409,8841202,BE.NMBS.008841202
1663,8811155,BE.NMBS.008811155
1666,8832573,BE.NMBS.008832573
1670,8831765,BE.NMBS.008831765
1723,8891173,BE.NMBS.008891173
1730,8893443,BE.NMBS.008893443
1744,8882206,BE.NMBS.008882206
1753,8811007,BE.NMBS.008811007
1761,8811205,BE.NMBS.008811205
1767,8812021,BE.NMBS.008812021
1768,8812013,BE.NMBS.008812013
1839,8821105,BE.NMBS.008821105
1841,8866654,BE.NMBS.008866654
1842,8866662,BE.NMBS.008866662
1843,8893252,BE.NMBS.008893252
1912,8814472,BE.NMBS.008814472
1973,8811403,BE.NMBS.008811403
1979,8815016,BE.NMBS.008815016
2011,8843174,BE.NMBS.008843174
2061,8811007,BE.NMBS.008811007
2089,8811940,BE.NMBS.008811940
