station_name_nmbs,station_uic,avg_week,avg_sat,avg_sun
ROESELARE,8896800,1.990,892,853
RONET,8861119,40,31,30
RONSE/RENAIX,8892908,791,148,233
ROUX,8871217,92,26,23
RUISBR.-SAUVEGARDE,8822848,121,49,38
RUISBROEK,8814365,572,253,136
SART-BERNARD,8864956,89,25,15
SCHAARBEEK/SCHAERBEEK,8811007,1.849,789,443
SCHELDEWINDEKE,8893070,222,50,47
SCHELLE,8824232,156,92,50
SCHELLEBELLE,8893542,310,65,46
SCHENDELBEKE,8895711,159,44,35
SCHOONAARDE,8893526,152,68,87
SCHULEN,8831088,134,59,176
SCLAIGNEAUX,8863446,85,15,12
SCLESSIN,8843133,34,-,-
SERAING,8843067,220,65,44
SERSKAMP,8893583,108,31,23
SILLY,8883436,751,161,171
SIMONIS,8812013,94,41,40
SINAAI,8894425,211,45,36
SLEIDINGE,8893260,180,54,27
SOIGNIES,8883113,1.800,603,426
SOLRE-SUR-SAMBRE,8871662,71,29,14
SPA,8844404,270,147,130
SPA-GERONSTERE,8844420,330,168,156
STATTE,8843406,307,117,106
ST-DENIJS-BOEKEL,8892692,122,-,-
ST-DENIS-BOVESSE,8861432,104,33,11
ST-GEN-RODE/RHODE-ST-GEN,8814167,1.016,385,258
ST-GHISLAIN,8884004,1.426,325,267
ST-GILLIS,8893443,85,25,20
ST-JOB,8814449,715,148,121
ST-JORIS-WEERT,8833159,212,70,56
ST-KATELIJNE-WAVER,8822228,554,169,101
ST-MARIABURG,8821543,176,96,70
ST-MARTENS-BODEGEM,8812245,241,37,29
ST-NIKLAAS,8894508,4.907,1.974,1.849
STOCKEM,8862018,10,6,6
ST-TRUIDEN,8831807,922,228,284
SY,8842853,26,12,22
TAMINES,8874609,1.151,595,559
TEMSE,8894672,405,144,185
TERHAGEN,8895448,114,-,-
TERNAT,8812252,571,288,203
TESTELT,8833266,174,87,60
THEUX,8844339,142,50,52
THIEU,8881455,80,20,10
THUIN,8871811,211,77,41
THULIN,8884350,87,57,31
TIELEN,8821964,418,158,238
TIELT,8892254,661,269,364
TIENEN,8833308,2.500,495,510
TILFF,8842630,80,34,29
TILLY,8872553,176,34,35
TOLLEMBEEK,8895638,179,34,37
TONGEREN,8831310,526,214,278
TORHOUT,8891314,1.202,379,452
TOUR ET TAXIS/THURN EN TAXIS,8815016,70,29,29
TOURNAI,8885001,4.243,1.365,1.254
TROIS-PONTS,8845203,146,79,124
TROOZ,8844271,67,49,26
